Adj Close,Close,High,Low,Open,Volume
4.3601820997631275,4.388294235033294,4.46602932553404,4.303589863200431,4.3863111064942855,623505424.8799073
0.089445792,0.097525999,0.099219002,0.091926999,0.098438002,300912000.0
0.087057546,0.094921999,0.096093997,0.090103999,0.095833004,300480000.0
0.084191464,0.091797002,0.09375,0.090494998,0.092188001,188352000.0
0.078697748,0.085807003,0.091797002,0.082291998,0.091797002,120480000.0
0.080012016,0.087240003,0.088151,0.084114999,0.085417002,71184000.0
0.082638748,0.090103999,0.09375,0.085937999,0.087499999,239856000.0
0.079294801,0.086457998,0.090625003,0.086457998,0.089583002,148128000.0
0.077265188,0.084244996,0.086589001,0.083072998,0.086457998,123552000.0
0.080488935,0.087760001,0.088541999,0.083072998,0.084114999,132192000.0
0.083952084,0.091536,0.095182002,0.088802002,0.089063004,604560000.0
0.087535411,0.095443003,0.095833004,0.088541999,0.092707999,261648000.0
0.086698949,0.094531,0.095833004,0.09375,0.095833004,164688000.0
0.086460501,0.094270997,0.100520998,0.093489997,0.095312998,179568000.0
0.08550483,0.093229003,0.094401002,0.090884998,0.094010003,544272000.0
0.081683993,0.089063004,0.096224003,0.088541999,0.096224003,256944000.0
0.080966771,0.088280998,0.090365,0.085417002,0.089452997,237120000.0
0.077622853,0.084634997,0.090625003,0.083072998,0.088280998,232464000.0
0.073562637,0.080208004,0.085285999,0.077082999,0.085285999,458208000.0
0.071413748,0.077864997,0.079687998,0.07474,0.079167001,194448000.0
0.070816688,0.077214003,0.079948001,0.072916999,0.078254998,182400000.0
0.072487757,0.079035997,0.079687998,0.074478999,0.077344,92976000.0
0.074518308,0.081249997,0.082813002,0.079035997,0.079426996,149040000.0
0.075712442,0.082552001,0.085547,0.082030997,0.083853997,108240000.0
0.077503644,0.084504999,0.085156001,0.082813002,0.085156001,123696000.0
0.072727121,0.079296999,0.084895998,0.079167001,0.084895998,217488000.0
0.076190256,0.083072998,0.085937999,0.079167001,0.081249997,468816000.0
0.078100689,0.085156001,0.087630004,0.085026003,0.086198002,589056000.0
0.094103105,0.102604002,0.104166999,0.090365,0.090365,970080000.0
0.095536597,0.104166999,0.107813001,0.096615002,0.107681997,423792000.0
0.110821813,0.120833002,0.120833002,0.103385001,0.104427002,650112000.0
0.106523126,0.116145998,0.121224001,0.111198001,0.121094003,450480000.0
0.111418881,0.121483997,0.125521004,0.116145998,0.117448002,1019568000.0
0.115359828,0.125781,0.126562998,0.119530998,0.121353999,535776000.0
0.128735542,0.140365005,0.142187998,0.123047002,0.123957999,960864000.0
0.125152275,0.136457995,0.137759998,0.131249994,0.135938004,542496000.0
0.125869423,0.137239993,0.138671994,0.133203,0.134895995,511392000.0
0.124675333,0.135938004,0.138932005,0.130208001,0.138021007,244320000.0
0.116912566,0.127473995,0.136068001,0.121875003,0.136068001,278736000.0
0.116077073,0.126562998,0.128124997,0.124479003,0.126822993,517872000.0
0.122286171,0.133332998,0.134895995,0.125781,0.125781,306048000.0
0.118703783,0.129427001,0.133332998,0.127343997,0.133332998,383568000.0
0.110702567,0.120702997,0.130468994,0.120313004,0.130468994,191040000.0
0.112493753,0.122656003,0.123957999,0.119791999,0.120833002,273696000.0
0.111777477,0.121875003,0.132813007,0.120833002,0.123438001,432096000.0
0.159187615,0.173567995,0.181770995,0.149479002,0.15625,1952208000.0
0.160500944,0.174999997,0.176562995,0.160937995,0.173470005,668736000.0
0.19163999,0.208951995,0.224999994,0.176562995,0.177083001,952944000.0
0.225465342,0.245832995,0.302082986,0.218228996,0.219791993,2161200000.0
0.285176367,0.310938001,0.3125,0.220833004,0.222917005,2415168000.0
0.210418642,0.229426995,0.30924499,0.224999994,0.30924499,1567776000.0
0.201820329,0.220052004,0.252214015,0.212500006,0.245866001,995616000.0
0.1799362,0.196190998,0.234896004,0.192968994,0.227082998,750384000.0
0.190833807,0.208073005,0.222917005,0.191633999,0.191667005,557616000.0
0.190714613,0.207943007,0.223177001,0.201302007,0.216276005,365280000.0
0.181279942,0.197656006,0.210155994,0.181250006,0.208333001,536640000.0
0.182594165,0.199089006,0.205208004,0.195832998,0.199219003,230592000.0
0.185817882,0.202603996,0.213541999,0.196875006,0.197265998,309408000.0
0.178056106,0.194141001,0.210417002,0.1875,0.201302007,231600000.0
0.166352376,0.181380004,0.200000003,0.179688007,0.193749994,388944000.0
0.153933287,0.167839006,0.177083001,0.164582998,0.175129995,393312000.0
0.143782258,0.156771004,0.172396004,0.150000006,0.168489993,469440000.0
0.142945811,0.155858994,0.170313001,0.146874994,0.152082995,361920000.0
0.161426395,0.176008999,0.183072999,0.163542002,0.166503996,962976000.0
0.148798123,0.162239999,0.174999997,0.157682002,0.174413994,329952000.0
0.143304437,0.15625,0.173697993,0.118749999,0.170833007,513792000.0
0.175189972,0.191016003,0.203125,0.149739996,0.157812998,639600000.0
0.183310479,0.199870005,0.210025996,0.190365002,0.199870005,404592000.0
0.195968986,0.213671997,0.21875,0.201041996,0.209895998,318576000.0
0.178653196,0.194792002,0.229947999,0.190754995,0.217317998,395280000.0
0.168024331,0.183202997,0.197916999,0.166666999,0.181217,457584000.0
0.150589406,0.164193004,0.1875,0.163542002,0.183464006,313440000.0
0.144139946,0.157160997,0.171353996,0.154427007,0.165494993,313296000.0
0.131452113,0.143326998,0.158464,0.136457995,0.147135004,421920000.0
0.138169318,0.150650993,0.15625,0.131249994,0.131249994,294096000.0
0.162650749,0.177343994,0.186978996,0.160937995,0.165820003,477504000.0
0.154888049,0.168880001,0.185416996,0.166666999,0.182943001,278352000.0
0.154052511,0.167969003,0.176693007,0.165625006,0.173437998,153936000.0
0.14640899,0.159635007,0.165364996,0.151301995,0.158333004,205968000.0
0.162411347,0.177083001,0.182291999,0.166406006,0.166796997,249696000.0
0.160739407,0.175260007,0.193749994,0.174999997,0.189453006,254112000.0
0.173875749,0.189583004,0.191405997,0.162630007,0.163542002,280992000.0
0.170293406,0.185677007,0.200000003,0.185677007,0.192578003,179040000.0
0.175787091,0.191667005,0.196875006,0.187108994,0.192708001,119424000.0
0.168979943,0.184245005,0.202865005,0.178905994,0.191667005,234000000.0
0.166233197,0.181250006,0.189062998,0.166666999,0.183072999,329184000.0
